,0
1455,0
1456,0
1457,0
1458,1
1459,0
1460,0
1461,0
1462,0
1463,0
1464,2
1465,2
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1472,0
1473,2
1474,1
1475,0
1476,0
1477,1
1478,0
1479,3
1480,0
1481,0
1482,1
1483,3
1484,4
1485,4
1486,0
1487,0
1488,0
1489,1
1490,0
1491,2
1492,3
1493,1
1494,1
1495,1
1496,2
1497,1
1498,0
1499,1
1500,2
1501,3
1502,1
1503,1
1504,1
1505,1
1506,0
1507,0
1508,2
1509,1
1510,0
1511,0
1512,0
1513,0
1514,0
1515,1
1516,1
1517,0
1518,0
1519,0
1520,1
1521,0
1522,0
1523,0
1524,1
1525,1
1526,0
1527,0
1528,0
1529,1
1530,1
1531,0
1532,0
1533,0
1534,1
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,3
1545,1
1546,1
1547,0
1548,1
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,1
1561,3
1562,2
1563,0
1564,0
1565,0
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,0
1573,2
1574,0
1575,1
1576,0
1577,1
1578,1
1579,1
1580,2
1581,6
1582,4
1583,5
1584,2
1585,1
1586,0
1587,0
1588,0
1589,3
1590,0
1591,1
1592,2
1593,2
1594,0
1595,1
1596,1
1597,3
1598,1
1599,1
1600,1
1601,2
1602,1
1603,0
1604,1
1605,0
1606,1
1607,0
1608,3
1609,0
1610,3
1611,4
1612,4
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,1
1621,0
1622,0
1623,0
1624,2
1625,0
1626,3
1627,0
1628,0
1629,2
1630,0
1631,2
1632,2
1633,0
1634,0
1635,6
1636,2
1637,2
1638,0
1639,0
1640,0
1641,0
1642,0
1643,1
1644,4
1645,2
1646,2
1647,2
1648,1
1649,3
1650,0
1651,0
1652,0
1653,2
1654,1
1655,1
1656,0
1657,1
1658,1
1659,1
1660,1
1661,0
1662,4
1663,3
1664,1
1665,3
1666,0
1667,0
1668,0
1669,0
1670,2
1671,1
1672,0
1673,1
1674,1
1675,3
1676,0
1677,1
1678,2
1679,1
1680,4
1681,1
1682,3
1683,1
1684,3
1685,0
1686,0
1687,1
1688,2
1689,6
1690,2
1691,1
1692,0
1693,0
1694,1
1695,2
1696,0
1697,2
1698,2
1699,1
1700,0
1701,1
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,1
1711,1
1712,0
1713,1
1714,2
1715,2
1716,1
1717,1
1718,1
1719,0
1720,2
1721,0
1722,2
1723,1
1724,1
1725,2
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,1
1736,0
1737,0
1738,0
1739,1
1740,1
1741,1
1742,0
1743,0
1744,0
1745,1
1746,1
1747,1
1748,0
1749,1
1750,0
1751,0
1752,0
1753,1
1754,0
1755,0
1756,0
1757,1
1758,4
1759,2
1760,0
1761,5
1762,0
1763,1
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,1
1772,1
1773,1
1774,0
1775,1
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,1
1788,0
1789,0
1790,0
1791,0
1792,2
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,2
1801,4
1802,2
1803,1
1804,0
1805,0
1806,0
1807,6
1808,1
1809,2
1810,1
1811,2
1812,1
1813,1
1814,0
1815,0
1816,1
1817,1
1818,0
1819,0
1820,0
1821,1
1822,3
1823,3
1824,1
1825,2
1826,3
1827,2
1828,0
1829,0
1830,0
1831,0
1832,0
1833,2
1834,1
1835,1
1836,0
1837,0
1838,0
1839,0
1840,0
1841,2
1842,1
1843,1
1844,0
1845,1
1846,0
1847,0
1848,2
1849,1
1850,5
1851,0
1852,0
1853,0
1854,0
1855,0
1856,2
1857,4
1858,0
1859,5
1860,4
1861,3
1862,0
1863,0
1864,2
1865,3
1866,0
1867,2
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,1
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,1
1886,0
1887,1
1888,0
1889,0
1890,0
1891,1
1892,4
1893,1
1894,1
1895,0
1896,3
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,2
1904,0
1905,0
1906,0
1907,0
1908,0
1909,1
1910,0
1911,0
1912,0
1913,0
1914,0
1915,1
1916,0
1917,0
1918,0
1919,2
1920,5
1921,0
1922,6
1923,0
1924,0
1925,0
1926,0
1927,1
1928,0
1929,0
1930,0
1931,0
1932,3
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,1
1951,0
1952,0
1953,1
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,1
1963,1
1964,0
1965,2
1966,0
1967,1
1968,0
1969,1
1970,0
1971,0
1972,0
1973,1
1974,0
1975,1
1976,0
1977,0
1978,1
1979,0
1980,1
1981,2
1982,0
1983,5
1984,1
1985,1
1986,1
1987,0
1988,0
1989,1
1990,0
1991,0
1992,1
1993,5
1994,3
1995,0
1996,1
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,1
2007,2
2008,4
2009,3
2010,0
2011,0
2012,0
2013,0
2014,4
2015,2
2016,1
2017,0
2018,0
2019,1
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,1
2029,1
2030,0
2031,0
2032,0
2033,0
2034,0
2035,1
2036,0
2037,0
2038,0
2039,0
2040,3
2041,0
2042,1
2043,0
2044,3
2045,2
2046,2
2047,0
2048,0
2049,1
2050,1
2051,1
2052,1
2053,0
2054,0
2055,1
2056,0
2057,0
2058,0
2059,1
2060,1
2061,1
2062,1
2063,0
2064,1
2065,1
2066,4
2067,2
2068,2
2069,1
2070,1
2071,1
2072,0
2073,0
2074,0
2075,3
2076,1
2077,1
2078,3
2079,0
2080,6
2081,4
2082,3
2083,0
2084,0
2085,0
2086,0
2087,1
2088,1
2089,0
2090,0
2091,2
2092,0
2093,1
2094,0
2095,1
2096,2
2097,0
2098,1
2099,1
2100,0
2101,1
2102,2
2103,5
2104,2
2105,2
2106,1
2107,2
2108,0
2109,3
2110,1
2111,2
2112,0
2113,1
2114,0
2115,0
2116,2
2117,1
2118,3
2119,1
2120,0
2121,0
2122,0
2123,2
2124,4
2125,3
2126,3
2127,3
2128,3
2129,1
2130,1
2131,0
2132,1
2133,0
2134,1
2135,1
2136,3
2137,0
2138,3
2139,5
2140,5
2141,0
2142,0
2143,0
2144,0
2145,3
2146,3
2147,3
2148,1
2149,0
2150,0
